Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
6,1000,0.8,0.2,50.0,1000,95150,9062,110,51033.234375,0.002155
7,1000,0.8,0.2,50.0,1000,93076,8755,82,49667.746094,0.001651
8,1000,0.8,0.2,50.0,1000,95144,8974,101,50577.445312,0.001997
9,1000,0.8,0.2,50.0,1000,95718,8907,95,51197.351562,0.001856
10,1000,0.8,0.2,50.0,1000,92775,8711,105,49059.980469,0.002140
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,178818,8934,61,50623.449219,0.001205
2,1000,0.8,0.2,50.0,1000,175527,8771,49,49738.683594,0.000985
3,1000,0.8,0.2,50.0,1000,173336,8655,52,48484.992188,0.001072
4,1000,0.8,0.2,50.0,1000,180778,9027,64,50794.031250,0.001260
5,1000,0.8,0.2,50.0,1000,172235,8631,70,48902.222656,0.001431
6,1000,0.8,0.2,50.0,1000,179582,9059,86,51175.218750,0.001681
7,1000,0.8,0.2,50.0,1000,174974,8710,56,49574.718750,0.001130
8,1000,0.8,0.2,50.0,1000,175798,8792,56,49683.570312,0.001127
9,1000,0.8,0.2,50.0,1000,177663,8815,61,50463.359375,0.001209
10,1000,0.8,0.2,50.0,1000,176325,8753,56,49440.566406,0.001133
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,361670,8807,53,50013.507812,0.001060
2,1000,0.8,0.2,50.0,1000,353315,8602,40,48829.863281,0.000819
3,1000,0.8,0.2,50.0,1000,363603,8820,55,49540.363281,0.001110
4,1000,0.8,0.2,50.0,1000,366803,8893,61,50156.351562,0.001216
5,1000,0.8,0.2,50.0,1000,355334,8785,65,49744.492188,0.001307
6,1000,0.8,0.2,50.0,1000,371766,9215,81,52026.679688,0.001557
7,1000,0.8,0.2,50.0,1000,362965,8786,57,49962.367188,0.001141
8,1000,0.8,0.2,50.0,1000,365710,8898,57,50281.781250,0.001134
9,1000,0.8,0.2,50.0,1000,360024,8633,56,49465.910156,0.001132
10,1000,0.8,0.2,50.0,1000,359477,8797,45,49690.281250,0.000906
